customer_id,first_name,last_name,gender,email,phone_number,birthdate,address,city,country,plan,status,signup_date,last_purchase,total_orders,total_spent
1,Heather,Smith,Non-binary,denniswoods@example.org,+1-567-762-9754x51778,1977-02-03,60301 Diamond Cliff Apt. 046,East Christopher,Macao,Basic,Churned,2022-12-19,2023-03-24,56,9535.21
2,Christopher,Goodwin,Female,brownkristen@example.com,(388)657-1655x676,1979-06-16,47515 Cortez Vista Suite 180,Jessicaville,Congo,Enterprise,Inactive,2023-11-10,2024-04-23,89,6001.15
3,Barbara,Cooper,Male,hoovercarrie@example.org,(914)628-6923,1970-02-26,4441 Armstrong Pine Suite 785,Garrettton,Vietnam,Enterprise,Active,2023-12-07,2024-06-03,99,14324.1
4,Lucas,Nguyen,Female,antoniosanford@example.com,929.558.9640x326,1976-11-04,9996 Fields Flat Apt. 261,Taylorchester,Argentina,Free,Inactive,2024-12-06,2025-05-16,114,6199.58
5,Thomas,Galvan,Non-binary,jessicaperez@example.net,001-501-872-8803x268,1984-07-06,15322 Ashley Falls Apt. 456,Julieborough,Maldives,Basic,Active,2023-11-01,2025-07-14,115,6916.77
6,Destiny,Williams,Male,zreyes@example.org,988.671.4247x0534,2005-05-18,503 Smith Station,Caseyburgh,Poland,Free,Active,2026-07-04,2026-07-08,30,8455.12
7,Derek,Davis,Female,maria46@example.org,2314427142,2007-10-22,785 Samuel Trail,West James,Luxembourg,Premium,Churned,2025-05-22,2026-03-13,98,10746.11
8,Mario,Ayers,Male,benjamingray@example.org,+1-323-450-5217x3525,1994-12-17,923 Andrew Skyway,East Michaelville,Haiti,Basic,Inactive,2025-09-06,2026-03-11,5,7264.31
9,Fernando,Smith,Male,hopkinsmatthew@example.org,402.505.9993,1958-11-10,3560 Sara Flats Suite 843,Anneville,Brazil,Free,Inactive,2025-04-05,2026-03-22,66,2439.24
10,John,Hayes,Female,patricia93@example.net,3723678047,1988-01-28,636 Guerrero Lodge Apt. 857,Millerborough,French Guiana,Premium,Active,2026-03-03,2026-07-15,119,6970.08
11,Mark,Franklin,Male,knappgeorge@example.org,(826)426-5452x24014,1957-09-07,72126 Samuel Shores,Meganland,Benin,Enterprise,Churned,2025-08-02,2025-12-31,25,1323.31
12,Kathleen,Johnson,Male,trevor24@example.org,001-744-419-6879,2005-12-09,42021 Cross Alley,Porterville,Cook Islands,Premium,Churned,2023-01-27,2025-06-30,85,6881.48
13,Julie,Wright,Male,hansenmichelle@example.com,616-496-0162x143,1987-06-22,438 Zachary Wall Apt. 012,Forbesfurt,Norfolk Island,Premium,Active,2026-04-19,2026-06-29,49,14212.77
14,Craig,Sanchez,Female,amartin@example.com,437.709.9520x4912,1966-04-21,04315 Kimberly Brook Apt. 515,Manningland,Nicaragua,Basic,Active,2025-12-21,2026-02-23,34,9832.97
15,Deanna,Pierce,Non-binary,uharper@example.com,(254)557-0797x5683,1998-05-25,851 Walters Inlet Suite 122,Heidiburgh,Cuba,Free,Inactive,2022-10-14,2025-01-11,119,13194.86
16,Theresa,Bowen,Female,brianrose@example.org,001-977-454-2221x96914,1991-02-19,141 Tara Shores,Susanberg,Congo,Enterprise,Churned,2025-06-28,2025-07-15,90,5943.1
17,Mark,Daniel,Non-binary,david27@example.net,495.203.2969x8524,1992-07-11,46166 Kimberly Fall Suite 027,Robertville,Thailand,Free,Churned,2023-09-05,2025-01-10,51,6441.78
18,Sharon,Robinson,Non-binary,nicholsroger@example.com,910-881-5887x175,1956-06-17,891 Holly Rapids Suite 796,East Shannon,Guernsey,Premium,Churned,2026-02-03,2026-03-22,88,4780.73
19,Jeffrey,Davis,Female,justin90@example.org,+1-351-615-3623x9937,1970-06-16,400 Crystal Summit,Lake Josephville,Vietnam,Enterprise,Active,2026-04-01,2026-07-20,58,10532.55
20,Elizabeth,Reynolds,Male,basselijah@example.com,369-273-3121x53815,1990-03-02,747 Tina Mountain,Richardsonshire,Mauritania,Premium,Active,2025-03-29,2025-06-10,94,6092.97
21,Adam,Wade,Female,andreablair@example.net,444-596-5365,1992-04-24,670 Lynch Coves,Lake Brentside,Sudan,Premium,Active,2024-01-12,2025-07-01,88,5503.21
22,Valerie,Herrera,Non-binary,otran@example.com,(981)943-4423,2003-03-24,02439 Breanna Viaduct Suite 282,Hansenmouth,Kazakhstan,Premium,Inactive,2026-02-22,2026-05-30,88,2430.18
23,Jesse,Everett,Non-binary,gilbert54@example.com,343-267-1013x74520,1987-05-17,1604 Pearson Creek,Matthewsberg,Cameroon,Premium,Active,2024-06-06,2026-06-02,2,532.87
24,Mark,Boyd,Female,rgonzales@example.net,801-635-4877x268,1957-03-22,3868 Sawyer Manors,Lake Benjamin,Malawi,Free,Inactive,2025-03-05,2025-05-17,47,2639.66
25,Daniel,Frost,Male,turnergeorge@example.org,+1-582-386-7403x8750,1992-06-29,607 Griffin Port,Braytown,American Samoa,Premium,Churned,2022-08-04,2025-12-24,85,10613.69
26,Dean,West,Female,kristy57@example.org,485.941.3872x72483,1991-10-07,4423 Brewer Crescent Suite 623,Port Alanville,Burkina Faso,Free,Active,2025-06-13,2025-10-11,73,9605.81
27,Jorge,Barnes,Non-binary,sullivanjames@example.net,+1-479-597-8809x888,2007-07-11,45913 Gonzalez Shore Suite 045,West Sara,Monaco,Premium,Active,2025-10-31,2026-05-25,66,14226.35
28,Cody,Figueroa,Non-binary,michaelhensley@example.org,001-240-532-6908x95864,1994-04-23,9795 Belinda Mission Suite 919,Thomasport,Equatorial Guinea,Free,Inactive,2024-11-19,2026-07-13,46,11655.19
